sample,total_count,population,count,percentage
sample01233,106767,monocyte,19841,18.5835
sample01233,106767,nk_cell,23544,22.0518
sample01234,98079,b_cell,10021,10.2173
sample01234,98079,cd4_t_cell,24399,24.8769
sample01234,98079,cd8_t_cell,21281,21.6978
sample01234,98079,monocyte,28301,28.8553
sample01234,98079,nk_cell,14077,14.3527
sample01235,110753,b_cell,11137,10.0557
sample01235,110753,cd4_t_cell,26494,23.9217
sample01235,110753,cd8_t_cell,40454,36.5263
sample01235,110753,monocyte,17464,15.7684
sample01235,110753,nk_cell,15204,13.7278
sample01236,94444,b_cell,17587,18.6216
sample01236,94444,cd4_t_cell,21649,22.9226
sample01236,94444,cd8_t_cell,18288,19.3639
sample01236,94444,monocyte,25229,26.7132
sample01236,94444,nk_cell,11691,12.3788
sample01237,103715,b_cell,17444,16.8192
sample01237,103715,cd4_t_cell,25634,24.7158
sample01237,103715,cd8_t_cell,31770,30.632
sample01237,103715,monocyte,14281,13.7695
sample01237,103715,nk_cell,14586,14.0635
sample01238,108087,b_cell,9106,8.4247
sample01238,108087,cd4_t_cell,29031,26.8589
sample01238,108087,cd8_t_cell,22010,20.3632
sample01238,108087,monocyte,24763,22.9102
sample01238,108087,nk_cell,23177,21.4429
sample01239,95936,b_cell,12266,12.7856
sample01239,95936,cd4_t_cell,19441,20.2646
sample01239,95936,cd8_t_cell,23667,24.6696
sample01239,95936,monocyte,18892,19.6923
sample01239,95936,nk_cell,21670,22.588
sample01240,88086,b_cell,6489,7.3667
sample01240,88086,cd4_t_cell,26673,30.2806
sample01240,88086,cd8_t_cell,16380,18.5955
sample01240,88086,monocyte,25013,28.3961
sample01240,88086,nk_cell,13531,15.3611
sample01241,102530,b_cell,8282,8.0776
sample01241,102530,cd4_t_cell,29907,29.169
sample01241,102530,cd8_t_cell,20426,19.922
sample01241,102530,monocyte,24181,23.5843
sample01241,102530,nk_cell,19734,19.247
sample01242,99421,b_cell,5779,5.8127
sample01242,99421,cd4_t_cell,30720,30.8989
sample01242,99421,cd8_t_cell,23743,23.8813
sample01242,99421,monocyte,23473,23.6097
sample01242,99421,nk_cell,15706,15.7975
sample01243,94742,b_cell,14889,15.7153
sample01243,94742,cd4_t_cell,26386,27.8504
sample01243,94742,cd8_t_cell,28228,29.7946
sample01243,94742,monocyte,14428,15.2287
sample01243,94742,nk_cell,10811,11.411
sample01244,98943,b_cell,11819,11.9453
sample01244,98943,cd4_t_cell,28936,29.2451
sample01244,98943,cd8_t_cell,20189,20.4047
sample01244,98943,monocyte,27306,27.5977
sample01244,98943,nk_cell,10693,10.8072
sample01245,93678,b_cell,8483,9.0555
sample01245,93678,cd4_t_cell,27385,29.2331
sample01245,93678,cd8_t_cell,20398,21.7746
sample01245,93678,monocyte,22258,23.7601
sample01245,93678,nk_cell,15154,16.1767
sample01246,106441,b_cell,11608,10.9056
sample01246,106441,cd4_t_cell,29953,28.1405
sample01246,106441,cd8_t_cell,29224,27.4556
sample01246,106441,monocyte,18918,17.7732
sample01246,106441,nk_cell,16738,15.7251
sample01247,96431,b_cell,6941,7.1979
sample01247,96431,cd4_t_cell,38535,39.9612
sample01247,96431,cd8_t_cell,24625,25.5364
sample01247,96431,monocyte,18761,19.4554
sample01247,96431,nk_cell,7569,7.8491
sample01248,108830,b_cell,8349,7.6716
sample01248,108830,cd4_t_cell,32352,29.7271
sample01248,108830,cd8_t_cell,29419,27.0321
sample01248,108830,monocyte,26116,23.9971
sample01248,108830,nk_cell,12594,11.5722
sample01249,93814,b_cell,6723,7.1663
sample01249,93814,cd4_t_cell,39442,42.0428
sample01249,93814,cd8_t_cell,14037,14.9626
sample01249,93814,monocyte,17410,18.558
sample01249,93814,nk_cell,16202,17.2703
sample01250,94327,b_cell,6883,7.297
sample01250,94327,cd4_t_cell,30119,31.9304
sample01250,94327,cd8_t_cell,31140,33.0128
sample01250,94327,monocyte,14397,15.2629
sample01250,94327,nk_cell,11788,12.497
sample01251,98171,b_cell,11509,11.7234
sample01251,98171,cd4_t_cell,28314,28.8415
sample01251,98171,cd8_t_cell,23722,24.164
sample01251,98171,monocyte,21275,21.6714
sample01251,98171,nk_cell,13351,13.5997
sample01252,91723,b_cell,11467,12.5018
sample01252,91723,cd4_t_cell,26518,28.911
sample01252,91723,cd8_t_cell,24013,26.1799
sample01252,91723,monocyte,22827,24.8869
sample01252,91723,nk_cell,6898,7.5205
sample01253,96193,b_cell,10004,10.3999
sample01253,96193,cd4_t_cell,25341,26.3439
sample01253,96193,cd8_t_cell,22083,22.957
sample01253,96193,monocyte,16565,17.2206
sample01253,96193,nk_cell,22200,23.0786
sample01254,91776,b_cell,13483,14.6912
sample01254,91776,cd4_t_cell,28612,31.1759
sample01254,91776,cd8_t_cell,19711,21.4773
sample01254,91776,monocyte,12419,13.5319
sample01254,91776,nk_cell,17551,19.1237
sample01255,93283,b_cell,7297,7.8224
sample01255,93283,cd4_t_cell,26521,28.4307
sample01255,93283,cd8_t_cell,23456,25.145
sample01255,93283,monocyte,20008,21.4487
sample01255,93283,nk_cell,16001,17.1532
sample01256,102521,b_cell,8308,8.1037
sample01256,102521,cd4_t_cell,25236,24.6154
sample01256,102521,cd8_t_cell,27453,26.7779
sample01256,102521,monocyte,24431,23.8302
sample01256,102521,nk_cell,17093,16.6727
sample01257,91862,b_cell,5800,6.3138
sample01257,91862,cd4_t_cell,40596,44.1924
sample01257,91862,cd8_t_cell,14721,16.0251
sample01257,91862,monocyte,16077,17.5013
sample01257,91862,nk_cell,14668,15.9674
sample01258,94423,b_cell,10182,10.7834
sample01258,94423,cd4_t_cell,27144,28.7472
sample01258,94423,cd8_t_cell,26708,28.2855
sample01258,94423,monocyte,15443,16.3551
sample01258,94423,nk_cell,14946,15.8288
sample01259,109244,b_cell,7939,7.2672
sample01259,109244,cd4_t_cell,33955,31.0818
sample01259,109244,cd8_t_cell,23826,21.8099
sample01259,109244,monocyte,22254,20.3709
sample01259,109244,nk_cell,21270,19.4702
sample01260,101082,b_cell,13369,13.2259
sample01260,101082,cd4_t_cell,32994,32.6408
sample01260,101082,cd8_t_cell,26568,26.2836
sample01260,101082,monocyte,17724,17.5343
sample01260,101082,nk_cell,10427,10.3154
sample01261,104505,b_cell,7852,7.5135
sample01261,104505,cd4_t_cell,36747,35.1629
sample01261,104505,cd8_t_cell,24290,23.2429
sample01261,104505,monocyte,16468,15.7581
sample01261,104505,nk_cell,19148,18.3226
sample01262,98411,b_cell,14490,14.724
sample01262,98411,cd4_t_cell,36075,36.6575
sample01262,98411,cd8_t_cell,18891,19.196
sample01262,98411,monocyte,18881,19.1859
sample01262,98411,nk_cell,10074,10.2367
sample01263,101827,b_cell,11227,11.0256
sample01263,101827,cd4_t_cell,27623,27.1274
sample01263,101827,cd8_t_cell,24454,24.0152
sample01263,101827,monocyte,25205,24.7528
sample01263,101827,nk_cell,13318,13.079
sample01264,109520,b_cell,13516,12.3411
sample01264,109520,cd4_t_cell,41376,37.7794
sample01264,109520,cd8_t_cell,23748,21.6837
sample01264,109520,monocyte,18654,17.0325
sample01264,109520,nk_cell,12226,11.1633
sample01265,97813,b_cell,7913,8.0899
sample01265,97813,cd4_t_cell,31227,31.9252
sample01265,97813,cd8_t_cell,25339,25.9056
sample01265,97813,monocyte,21247,21.7221
sample01265,97813,nk_cell,12087,12.3573
sample01266,107789,b_cell,8736,8.1047
sample01266,107789,cd4_t_cell,31942,29.6338
sample01266,107789,cd8_t_cell,25468,23.6276
sample01266,107789,monocyte,26398,24.4904
sample01266,107789,nk_cell,15245,14.1434
sample01267,97482,b_cell,11373,11.6668
sample01267,97482,cd4_t_cell,32703,33.5477
sample01267,97482,cd8_t_cell,23253,23.8536
sample01267,97482,monocyte,20935,21.4758
sample01267,97482,nk_cell,9218,9.4561
sample01268,92304,b_cell,8186,8.8685
sample01268,92304,cd4_t_cell,27634,29.938
sample01268,92304,cd8_t_cell,26253,28.4419
sample01268,92304,monocyte,20026,21.6957
sample01268,92304,nk_cell,10205,11.0559
sample01269,101119,b_cell,10617,10.4995
sample01269,101119,cd4_t_cell,35070,34.6819
sample01269,101119,cd8_t_cell,26909,26.6112
sample01269,101119,monocyte,15194,15.0259
sample01269,101119,nk_cell,13329,13.1815
sample01270,100348,b_cell,11605,11.5648
sample01270,100348,cd4_t_cell,26251,26.16
sample01270,100348,cd8_t_cell,21923,21.847
sample01270,100348,monocyte,25052,24.9651
sample01270,100348,nk_cell,15517,15.4632
sample01271,100519,b_cell,20974,20.8657
sample01271,100519,cd4_t_cell,26484,26.3473
sample01271,100519,cd8_t_cell,23959,23.8353
sample01271,100519,monocyte,19265,19.1655
sample01271,100519,nk_cell,9837,9.7862
sample01272,107589,b_cell,13131,12.2048
sample01272,107589,cd4_t_cell,30516,28.3635
sample01272,107589,cd8_t_cell,30936,28.7539
sample01272,107589,monocyte,15942,14.8175
sample01272,107589,nk_cell,17064,15.8604
sample01273,107269,b_cell,9798,9.134
sample01273,107269,cd4_t_cell,37505,34.9635
sample01273,107269,cd8_t_cell,24980,23.2872
sample01273,107269,monocyte,17471,16.2871
sample01273,107269,nk_cell,17515,16.3281
sample01274,103702,b_cell,11246,10.8445
sample01274,103702,cd4_t_cell,33110,31.928
sample01274,103702,cd8_t_cell,20747,20.0064
sample01274,103702,monocyte,20708,19.9688
sample01274,103702,nk_cell,17891,17.2523
sample01275,105936,b_cell,6909,6.5219
sample01275,105936,cd4_t_cell,32003,30.2097
sample01275,105936,cd8_t_cell,25683,24.2439
sample01275,105936,monocyte,22088,20.8503
sample01275,105936,nk_cell,19253,18.1742
sample01276,105030,b_cell,14516,13.8208
sample01276,105030,cd4_t_cell,23956,22.8087
sample01276,105030,cd8_t_cell,20375,19.3992
sample01276,105030,monocyte,23558,22.4298
sample01276,105030,nk_cell,22625,21.5415
sample01277,107741,b_cell,8797,8.165
sample01277,107741,cd4_t_cell,27439,25.4676
sample01277,107741,cd8_t_cell,27329,25.3655
sample01277,107741,monocyte,30342,28.162
sample01277,107741,nk_cell,13834,12.8401
sample01278,95794,b_cell,5402,5.6392
sample01278,95794,cd4_t_cell,30485,31.8235
sample01278,95794,cd8_t_cell,21668,22.6194
sample01278,95794,monocyte,14431,15.0646
sample01278,95794,nk_cell,23808,24.8533
sample01279,104560,b_cell,6382,6.1037
sample01279,104560,cd4_t_cell,26545,25.3873
sample01279,104560,cd8_t_cell,25272,24.1699
sample01279,104560,monocyte,26834,25.6637
sample01279,104560,nk_cell,19527,18.6754
sample01280,98370,b_cell,12590,12.7986
sample01280,98370,cd4_t_cell,32548,33.0873
sample01280,98370,cd8_t_cell,23332,23.7186
sample01280,98370,monocyte,21771,22.1317
sample01280,98370,nk_cell,8129,8.2637
sample01281,95663,b_cell,5364,5.6072
sample01281,95663,cd4_t_cell,32640,34.1198
sample01281,95663,cd8_t_cell,25117,26.2557
sample01281,95663,monocyte,14412,15.0654
sample01281,95663,nk_cell,18130,18.9519
sample01282,94409,b_cell,10643,11.2733
sample01282,94409,cd4_t_cell,22084,23.3918
sample01282,94409,cd8_t_cell,29232,30.9631
sample01282,94409,monocyte,18748,19.8583
sample01282,94409,nk_cell,13702,14.5134
sample01283,105146,b_cell,16279,15.4823
sample01283,105146,cd4_t_cell,25481,24.2339
sample01283,105146,cd8_t_cell,23981,22.8073
sample01283,105146,monocyte,23520,22.3689
sample01283,105146,nk_cell,15885,15.1076
sample01284,107710,b_cell,10470,9.7205
sample01284,107710,cd4_t_cell,38134,35.4043
sample01284,107710,cd8_t_cell,22975,21.3304
sample01284,107710,monocyte,15541,14.4286
sample01284,107710,nk_cell,20590,19.1161
sample01285,93609,b_cell,8063,8.6135
sample01285,93609,cd4_t_cell,24995,26.7015
sample01285,93609,cd8_t_cell,25604,27.3521
sample01285,93609,monocyte,22800,24.3566
sample01285,93609,nk_cell,12147,12.9763
sample01286,99219,b_cell,8931,9.0013
sample01286,99219,cd4_t_cell,35028,35.3037
sample01286,99219,cd8_t_cell,28923,29.1507
sample01286,99219,monocyte,11610,11.7014
sample01286,99219,nk_cell,14727,14.8429
sample01287,98586,b_cell,12874,13.0586
sample01287,98586,cd4_t_cell,27621,28.0172
sample01287,98586,cd8_t_cell,23194,23.5267
sample01287,98586,monocyte,20872,21.1714
sample01287,98586,nk_cell,14025,14.2262
sample01288,106008,b_cell,10696,10.0898
sample01288,106008,cd4_t_cell,32247,30.4194
sample01288,106008,cd8_t_cell,25455,24.0123
sample01288,106008,monocyte,18698,17.6383
sample01288,106008,nk_cell,18912,17.8402
sample01289,100855,b_cell,7920,7.8529
sample01289,100855,cd4_t_cell,30095,29.8399
sample01289,100855,cd8_t_cell,28835,28.5906
sample01289,100855,monocyte,18711,18.5524
sample01289,100855,nk_cell,15294,15.1643
sample01290,94206,b_cell,5752,6.1058
sample01290,94206,cd4_t_cell,26751,28.3963
sample01290,94206,cd8_t_cell,31936,33.9002
sample01290,94206,monocyte,18446,19.5805
sample01290,94206,nk_cell,11321,12.0173
sample01291,98362,b_cell,10177,10.3465
sample01291,98362,cd4_t_cell,26305,26.7431
sample01291,98362,cd8_t_cell,26282,26.7197
sample01291,98362,monocyte,21807,22.1701
sample01291,98362,nk_cell,13791,14.0207
sample01292,96927,b_cell,9107,9.3957
sample01292,96927,cd4_t_cell,28330,29.2282
sample01292,96927,cd8_t_cell,23251,23.9882
sample01292,96927,monocyte,20854,21.5152
sample01292,96927,nk_cell,15385,15.8728
sample01293,100260,b_cell,11696,11.6657
sample01293,100260,cd4_t_cell,31206,31.1251
sample01293,100260,cd8_t_cell,28700,28.6256
sample01293,100260,monocyte,17922,17.8755
sample01293,100260,nk_cell,10736,10.7082
sample01294,92700,b_cell,6984,7.534
sample01294,92700,cd4_t_cell,25345,27.3409
sample01294,92700,cd8_t_cell,29928,32.2848
sample01294,92700,monocyte,20214,21.8058
sample01294,92700,nk_cell,10229,11.0345
sample01295,102918,b_cell,8696,8.4494
sample01295,102918,cd4_t_cell,26888,26.1257
sample01295,102918,cd8_t_cell,23989,23.3088
sample01295,102918,monocyte,24821,24.1173
sample01295,102918,nk_cell,18524,17.9988
sample01296,107983,b_cell,15047,13.9346
sample01296,107983,cd4_t_cell,31902,29.5435
sample01296,107983,cd8_t_cell,24167,22.3804
sample01296,107983,monocyte,19610,18.1603
sample01296,107983,nk_cell,17257,15.9812
sample01297,101135,b_cell,14039,13.8814
sample01297,101135,cd4_t_cell,26410,26.1136
sample01297,101135,cd8_t_cell,21375,21.1351
sample01297,101135,monocyte,15446,15.2727
sample01297,101135,nk_cell,23865,23.5972
sample01298,99125,b_cell,6710,6.7692
sample01298,99125,cd4_t_cell,41588,41.9551
sample01298,99125,cd8_t_cell,23435,23.6419
sample01298,99125,monocyte,9655,9.7402
sample01298,99125,nk_cell,17737,17.8936
sample01299,107920,b_cell,9344,8.6583
sample01299,107920,cd4_t_cell,35030,32.4592
sample01299,107920,cd8_t_cell,32085,29.7304
sample01299,107920,monocyte,23543,21.8152
sample01299,107920,nk_cell,7918,7.3369
sample01300,108277,b_cell,8075,7.4577
sample01300,108277,cd4_t_cell,41630,38.4477
sample01300,108277,cd8_t_cell,27636,25.5234
sample01300,108277,monocyte,20291,18.7399
sample01300,108277,nk_cell,10645,9.8313
sample01301,100912,b_cell,14275,14.146
sample01301,100912,cd4_t_cell,26912,26.6688
sample01301,100912,cd8_t_cell,21449,21.2552
sample01301,100912,monocyte,19958,19.7776
sample01301,100912,nk_cell,18318,18.1524
sample01302,107427,b_cell,8839,8.2279
sample01302,107427,cd4_t_cell,31858,29.6555
sample01302,107427,cd8_t_cell,28273,26.3183
sample01302,107427,monocyte,23865,22.2151
sample01302,107427,nk_cell,14592,13.5832
sample01303,103684,b_cell,4718,4.5504
sample01303,103684,cd4_t_cell,41143,39.6811
sample01303,103684,cd8_t_cell,22589,21.7864
sample01303,103684,monocyte,19740,19.0386
sample01303,103684,nk_cell,15494,14.9435
sample01304,108153,b_cell,16066,14.8549
sample01304,108153,cd4_t_cell,28326,26.1907
sample01304,108153,cd8_t_cell,26212,24.236
sample01304,108153,monocyte,23716,21.9282
sample01304,108153,nk_cell,13833,12.7902
sample01305,95567,b_cell,11372,11.8995
sample01305,95567,cd4_t_cell,19832,20.7519
sample01305,95567,cd8_t_cell,22741,23.7959
sample01305,95567,monocyte,25764,26.9591
sample01305,95567,nk_cell,15858,16.5936
sample01306,95702,b_cell,10479,10.9496
sample01306,95702,cd4_t_cell,29594,30.9231
sample01306,95702,cd8_t_cell,25423,26.5648
sample01306,95702,monocyte,19329,20.1971
sample01306,95702,nk_cell,10877,11.3655
sample01307,100938,b_cell,4033,3.9955
sample01307,100938,cd4_t_cell,24549,24.3209
sample01307,100938,cd8_t_cell,27739,27.4812
sample01307,100938,monocyte,27591,27.3346
sample01307,100938,nk_cell,17026,16.8678
sample01308,92530,b_cell,3965,4.2851
sample01308,92530,cd4_t_cell,34932,37.7521
sample01308,92530,cd8_t_cell,26764,28.9247
sample01308,92530,monocyte,16951,18.3195
sample01308,92530,nk_cell,9918,10.7187
sample01309,94984,b_cell,8789,9.2531
sample01309,94984,cd4_t_cell,25420,26.7624
sample01309,94984,cd8_t_cell,25598,26.9498
sample01309,94984,monocyte,16962,17.8577
sample01309,94984,nk_cell,18215,19.1769
sample01310,94840,b_cell,11240,11.8515
sample01310,94840,cd4_t_cell,22792,24.0321
sample01310,94840,cd8_t_cell,24462,25.7929
sample01310,94840,monocyte,16230,17.113
sample01310,94840,nk_cell,20116,21.2105
sample01311,96091,b_cell,7786,8.1027
sample01311,96091,cd4_t_cell,29786,30.9977
sample01311,96091,cd8_t_cell,19689,20.49
sample01311,96091,monocyte,23975,24.9503
sample01311,96091,nk_cell,14855,15.4593
sample01312,98679,b_cell,9243,9.3667
sample01312,98679,cd4_t_cell,36111,36.5944
sample01312,98679,cd8_t_cell,19433,19.6931
sample01312,98679,monocyte,21134,21.4169
sample01312,98679,nk_cell,12758,12.9288
sample01313,107635,b_cell,6971,6.4765
sample01313,107635,cd4_t_cell,29174,27.1046
sample01313,107635,cd8_t_cell,25274,23.4812
sample01313,107635,monocyte,26466,24.5887
sample01313,107635,nk_cell,19750,18.3491
sample01314,104820,b_cell,5680,5.4188
sample01314,104820,cd4_t_cell,28906,27.5768
sample01314,104820,cd8_t_cell,24866,23.7226
sample01314,104820,monocyte,24915,23.7693
sample01314,104820,nk_cell,20453,19.5125
sample01315,106330,b_cell,11229,10.5605
sample01315,106330,cd4_t_cell,25715,24.1841
sample01315,106330,cd8_t_cell,25985,24.4381
sample01315,106330,monocyte,24722,23.2503
sample01315,106330,nk_cell,18679,17.567
sample01316,96957,b_cell,10247,10.5686
sample01316,96957,cd4_t_cell,35225,36.3305
sample01316,96957,cd8_t_cell,23952,24.7037
sample01316,96957,monocyte,16317,16.8291
sample01316,96957,nk_cell,11216,11.568
sample01317,109566,b_cell,9305,8.4926
sample01317,109566,cd4_t_cell,47117,43.0033
sample01317,109566,cd8_t_cell,17960,16.3919
sample01317,109566,monocyte,18672,17.0418
sample01317,109566,nk_cell,16512,15.0704
sample01318,107485,b_cell,13478,12.5394
sample01318,107485,cd4_t_cell,29640,27.5759
sample01318,107485,cd8_t_cell,27430,25.5198
sample01318,107485,monocyte,15760,14.6625
sample01318,107485,nk_cell,21177,19.7023
sample01319,96501,b_cell,6721,6.9647
sample01319,96501,cd4_t_cell,25723,26.6557
sample01319,96501,cd8_t_cell,28075,29.093
sample01319,96501,monocyte,18262,18.9242
sample01319,96501,nk_cell,17720,18.3625
sample01320,96630,b_cell,11718,12.1267
sample01320,96630,cd4_t_cell,20157,20.86
sample01320,96630,cd8_t_cell,27516,28.4756
sample01320,96630,monocyte,22930,23.7297
sample01320,96630,nk_cell,14309,14.808
sample01321,107155,b_cell,10903,10.175
sample01321,107155,cd4_t_cell,32867,30.6724
sample01321,107155,cd8_t_cell,27816,25.9587
sample01321,107155,monocyte,22394,20.8987
sample01321,107155,nk_cell,13175,12.2953
sample01322,101114,b_cell,8644,8.5488
sample01322,101114,cd4_t_cell,32175,31.8205
sample01322,101114,cd8_t_cell,24041,23.7761
sample01322,101114,monocyte,25626,25.3437
sample01322,101114,nk_cell,10628,10.5109
sample01323,92894,b_cell,6980,7.5139
sample01323,92894,cd4_t_cell,33214,35.7547
sample01323,92894,cd8_t_cell,20537,22.108
sample01323,92894,monocyte,17412,18.7439
sample01323,92894,nk_cell,14751,15.8794
sample01324,104741,b_cell,12297,11.7404
sample01324,104741,cd4_t_cell,27053,25.8285
sample01324,104741,cd8_t_cell,31151,29.741
sample01324,104741,monocyte,12702,12.1271
sample01324,104741,nk_cell,21538,20.5631
sample01325,91011,b_cell,16996,18.6747
sample01325,91011,cd4_t_cell,24073,26.4506
sample01325,91011,cd8_t_cell,20290,22.294
sample01325,91011,monocyte,19706,21.6523
sample01325,91011,nk_cell,9946,10.9283
sample01326,101755,b_cell,11563,11.3636
sample01326,101755,cd4_t_cell,28799,28.3023
sample01326,101755,cd8_t_cell,29683,29.171
sample01326,101755,monocyte,19159,18.8286
sample01326,101755,nk_cell,12551,12.3345
sample01327,111383,b_cell,13197,11.8483
sample01327,111383,cd4_t_cell,34900,31.3333
sample01327,111383,cd8_t_cell,29629,26.601
sample01327,111383,monocyte,21152,18.9903
sample01327,111383,nk_cell,12505,11.227
sample01328,106081,b_cell,10873,10.2497
sample01328,106081,cd4_t_cell,31265,29.4728
sample01328,106081,cd8_t_cell,22936,21.6212
sample01328,106081,monocyte,26192,24.6906
sample01328,106081,nk_cell,14815,13.9657
sample01329,93643,b_cell,9163,9.785
sample01329,93643,cd4_t_cell,26029,27.796
sample01329,93643,cd8_t_cell,24367,26.0212
sample01329,93643,monocyte,22237,23.7466
sample01329,93643,nk_cell,11847,12.6512
sample01330,94424,b_cell,10811,11.4494
sample01330,94424,cd4_t_cell,29345,31.0779
sample01330,94424,cd8_t_cell,21730,23.0132
sample01330,94424,monocyte,18839,19.9515
sample01330,94424,nk_cell,13699,14.508
sample01331,98623,b_cell,11284,11.4416
sample01331,98623,cd4_t_cell,23068,23.3901
sample01331,98623,cd8_t_cell,17603,17.8488
sample01331,98623,monocyte,29890,30.3073
sample01331,98623,nk_cell,16778,17.0123
sample01332,112389,b_cell,17840,15.8734
sample01332,112389,cd4_t_cell,38826,34.5461
sample01332,112389,cd8_t_cell,28821,25.644
sample01332,112389,monocyte,12876,11.4566
sample01332,112389,nk_cell,14026,12.4799
sample01333,102246,b_cell,6840,6.6897
sample01333,102246,cd4_t_cell,30609,29.9366
sample01333,102246,cd8_t_cell,39386,38.5208
sample01333,102246,monocyte,14146,13.8353
sample01333,102246,nk_cell,11265,11.0175
sample01334,109803,b_cell,7656,6.9725
sample01334,109803,cd4_t_cell,28384,25.8499
sample01334,109803,cd8_t_cell,33548,30.5529
sample01334,109803,monocyte,26254,23.9101
sample01334,109803,nk_cell,13961,12.7146
sample01335,102124,b_cell,8830,8.6464
sample01335,102124,cd4_t_cell,38536,37.7345
sample01335,102124,cd8_t_cell,23235,22.7518
sample01335,102124,monocyte,17282,16.9226
sample01335,102124,nk_cell,14241,13.9448
sample01336,101141,b_cell,4913,4.8576
sample01336,101141,cd4_t_cell,37337,36.9158
sample01336,101141,cd8_t_cell,22782,22.525
sample01336,101141,monocyte,24177,23.9043
sample01336,101141,nk_cell,11932,11.7974
sample01337,97602,b_cell,6077,6.2263
sample01337,97602,cd4_t_cell,32188,32.9788
sample01337,97602,cd8_t_cell,29872,30.6059
sample01337,97602,monocyte,14702,15.0632
sample01337,97602,nk_cell,14763,15.1257
sample01338,101427,b_cell,7675,7.567
sample01338,101427,cd4_t_cell,30575,30.1448
sample01338,101427,cd8_t_cell,35014,34.5214
sample01338,101427,monocyte,16198,15.9701
sample01338,101427,nk_cell,11965,11.7967
sample01339,97136,b_cell,13974,14.386
sample01339,97136,cd4_t_cell,29165,30.0249
sample01339,97136,cd8_t_cell,25427,26.1767
sample01339,97136,monocyte,15978,16.4491
sample01339,97136,nk_cell,12592,12.9633
sample01340,102741,b_cell,12635,12.2979
sample01340,102741,cd4_t_cell,25611,24.9277
sample01340,102741,cd8_t_cell,20679,20.1273
sample01340,102741,monocyte,26288,25.5867
sample01340,102741,nk_cell,17528,17.0604
sample01341,105771,b_cell,10807,10.2174
sample01341,105771,cd4_t_cell,29620,28.0039
sample01341,105771,cd8_t_cell,30095,28.453
sample01341,105771,monocyte,16183,15.3
sample01341,105771,nk_cell,19066,18.0257
sample01342,90355,b_cell,11877,13.1448
sample01342,90355,cd4_t_cell,28582,31.633
sample01342,90355,cd8_t_cell,16665,18.4439
sample01342,90355,monocyte,18445,20.4139
sample01342,90355,nk_cell,14786,16.3643
sample01343,104814,b_cell,10934,10.4318
sample01343,104814,cd4_t_cell,22007,20.9962
sample01343,104814,cd8_t_cell,30567,29.1631
sample01343,104814,monocyte,23062,22.0028
sample01343,104814,nk_cell,18244,17.4061
sample01344,104192,b_cell,9612,9.2253
sample01344,104192,cd4_t_cell,34379,32.9958
sample01344,104192,cd8_t_cell,20243,19.4286
sample01344,104192,monocyte,24015,23.0488
sample01344,104192,nk_cell,15943,15.3016
sample01345,95834,b_cell,10387,10.8385
sample01345,95834,cd4_t_cell,28011,29.2287
sample01345,95834,cd8_t_cell,25658,26.7734
sample01345,95834,monocyte,15924,16.6162
sample01345,95834,nk_cell,15854,16.5432
sample01346,95894,b_cell,10353,10.7963
sample01346,95894,cd4_t_cell,25791,26.8953
sample01346,95894,cd8_t_cell,27847,29.0394
sample01346,95894,monocyte,20005,20.8616
sample01346,95894,nk_cell,11898,12.4074
sample01347,101479,b_cell,10556,10.4022
sample01347,101479,cd4_t_cell,30930,30.4792
sample01347,101479,cd8_t_cell,23700,23.3546
sample01347,101479,monocyte,19930,19.6395
sample01347,101479,nk_cell,16363,16.1245
sample01348,100053,b_cell,9817,9.8118
sample01348,100053,cd4_t_cell,28370,28.355
sample01348,100053,cd8_t_cell,25228,25.2146
sample01348,100053,monocyte,19589,19.5786
sample01348,100053,nk_cell,17049,17.04
sample01349,108386,b_cell,7578,6.9917
sample01349,108386,cd4_t_cell,27410,25.2892
sample01349,108386,cd8_t_cell,32430,29.9208
sample01349,108386,monocyte,25937,23.9302
sample01349,108386,nk_cell,15031,13.868
sample01350,98150,b_cell,11653,11.8726
sample01350,98150,cd4_t_cell,19455,19.8217
sample01350,98150,cd8_t_cell,34268,34.9139
sample01350,98150,monocyte,19792,20.1651
sample01350,98150,nk_cell,12982,13.2267
sample01351,107248,b_cell,12803,11.9378
sample01351,107248,cd4_t_cell,29694,27.6872
sample01351,107248,cd8_t_cell,25470,23.7487
sample01351,107248,monocyte,20587,19.1957
sample01351,107248,nk_cell,18694,17.4306
sample01352,115315,b_cell,21720,18.8354
sample01352,115315,cd4_t_cell,34880,30.2476
sample01352,115315,cd8_t_cell,29175,25.3003
sample01352,115315,monocyte,13054,11.3203
sample01352,115315,nk_cell,16486,14.2965
sample01353,102835,b_cell,10743,10.4468
sample01353,102835,cd4_t_cell,27183,26.4336
sample01353,102835,cd8_t_cell,23550,22.9008
sample01353,102835,monocyte,25427,24.726
sample01353,102835,nk_cell,15932,15.4928
sample01354,100879,b_cell,8048,7.9779
sample01354,100879,cd4_t_cell,28375,28.1278
sample01354,100879,cd8_t_cell,25967,25.7407
sample01354,100879,monocyte,21377,21.1907
sample01354,100879,nk_cell,17112,16.9629
sample01355,105213,b_cell,10501,9.9807
sample01355,105213,cd4_t_cell,27272,25.9208
sample01355,105213,cd8_t_cell,28251,26.8512
sample01355,105213,monocyte,19569,18.5994
sample01355,105213,nk_cell,19620,18.6479
sample01356,105001,b_cell,18180,17.3141
sample01356,105001,cd4_t_cell,26877,25.5969
sample01356,105001,cd8_t_cell,32455,30.9092
